KMHI,CONA,LH,,,705/707LH,708LH/708LH,708LH/708LH,707LH/705,,,,,,
KMHI,CONA,RH,,,705/707RH,708RH/708RH,708RH/708RH,707RH/705,,,,,,
KMHI,CONB,,,,705/707LH,708LH/708LH,708LH/708LH,708LH/708LH,707LH/705,,,,,
KMHI,CONC,,,,705/707RH,708RH/708RH,708RH/708RH,708RH/708RH,707RH/705,,,,,
KMHI,COND,LH,,,705/707LH,708LH/708LH,708LH/708LH,708LH/708LH,707LH/705,,,,,
KMHI,COND,RH,,,705/707RH,708RH/708RH,708RH/708RH,708RH/708RH,707RH/705,,,,,
KMHI,CONE,,,,705/707LH,708LH/718RH,706LH/705,,,,,,,
KMHI,CONF,,,,705/706RH,718LH/708RH,707RH/705,,,,,,,
KMHI,CONG,,,,705/707LH,708LH/718RH,706LH/705,,,,,,,
KMHI,CONH,,,,705/706RH,718LH/708RH,707RH/705,,,,,,,
KMHI,CONI,,,,705/706RH,718LH/708RH,707RH/705,,,,,,,
KMHI,CONJ,,,,705/707LH,708LH/718RH,706LH/705,,,,,,,
KMHI,CONK,LH,,,705/707LH,708LH/718RH,706RH/708RH,707RH/705,,,,,,
KMHI,CONK,RH,,,705/707LH,708LH/706LH,718LH/708RH,707RH/705,,,,,,
KMHI,CONL,LH,,,705/707LH,708LH/718RH,706RH/708RH,707RH/705,,,,,,
KMHI,CONL,RH,,,705/707LH,708LH/706LH,718LH/708RH,707RH/705,,,,,,
KMHI,CONM,LH,,,705/707LH,708LH/718RH,706RH/708RH,707RH/705,,,,,,
KMHI,CONM,RH,,,705/707LH,708LH/706LH,718LH/708RH,707RH/705,,,,,,
KMHI,CONN,LH,,,705/707LH,708LH/718RH,706RH/708RH,707RH/705,,,,,,
KMHI,CONN,RH,,,705/707LH,708LH/706LH,718LH/708RH,707RH/705,,,,,,
KMHI,CONO,,,,705/707LH,708LH/708LH,707LH/718RH,706RH/707RH,708RH/705,,,,,
KMHI,CONP,,,,705/708LH,707LH/706LH,718LH/707RH,708RH/708RH,707RH/705,,,,,
KMHI,CONQ,,,,705/707LH,708LH/708LH,707LH/718RH,706RH/707RH,708RH/705,,,,,
KMHI,CONR,,,,705/708LH,707LH/706LH,718LH/707RH,708RH/708RH,707RH/705,,,,,
KMHI,CONS,,,,705/708LH,707LH/706LH,718LH/707RH,708RH/708RH,707RH/705,,,,,
KMHI,CONT,,,,705/707LH,708LH/708LH,707LH/718RH,706RH/707RH,708RH/705,,,,,
KMHI,CONU,,,,705/707LH,708LH/708LH,707LH/718RH,706RH/707RH,708RH/708RH,707RH/705,,,,
KMHI,CONU,RH,,,705/707LH,708LH/708LH,707LH/706LH,718LH/707RH,708RH/708RH,707RH/705,,,,
KMHI,CONV,LH,,,705/707LH,708LH/708LH,707LH/718RH,706RH/707RH,708RH/708RH,707RH/705,,,,
KMHI,CONV,RH,,,705/707LH,708LH/708LH,707LH/706LH,718LH/707RH,708RH/708RH,707RH/705,,,,
KMHI,CONW,LH,,,705/707LH,708LH/708LH,708LH/708LH,707LH/718RH,706RH/707RH,708RH/708RH,708RH/708RH,707RH/705,,
KMHI,CONW,RH,,,705/707LH,708LH/708LH,708LH/708LH,707LH/706LH,718LH/707RH,708RH/708RH,708RH/708RH,707RH/705,,
KMHI,CONX,LH,,,705/707LH,708LH/708LH,708LH/708LH,707LH/718RH,706RH/707RH,708RH/708RH,708RH/708RH,707RH/705,,
KMHI,CONX,RH,,,705/707LH,708LH/708LH,708LH/708LH,707LH/706LH,718LH/707RH,708RH/708RH,708RH/708RH,707RH/705,,
KMHI,CONY,LH,,,705/707LH,708LH/708LH,708LH/708LH,708LH/708LH,707LH/718RH,706RH/707RH,708RH/708RH,708RH/708RH,708RH/708RH,707RH/705
KMHI,CONY,RH,,,705/707LH,708LH/708LH,708LH/708LH,708LH/708LH,707LH/706LH,718LH/707RH,708RH/708RH,708RH/708RH,708RH/708RH,707RH/705
KM,CON1,,,,705/707LH,707LH/705,,,,,,,,
KM,CON2,,,,705/707RH,707RH/705,,,,,,,,
KM,CON3,LH,,,705/707LH,707LH/705,,,,,,,,
KM,CON3,RH,,,705/707RH,707RH/705,,,,,,,,
KM,CON4,,3/5 TRACK,,705/707LH,707LH/707LH,707LH/705,,,,,,,
KM,CON4,,4 TRACK,,705/707LH,708LH/707LH,707LH/705,,,,,,,
KM,CON5,,3/5 TRACK,,705/707RH,707RH/707RH,707RH/705,,,,,,,
